iter	Passed	Remaining
402	10841	16060
403	10860	16022
404	10880	15984
405	10905	15954
406	10926	15920
407	10951	15890
408	10979	15864
409	11000	15830
410	11028	15804
411	11051	15771
412	11070	15734
413	11090	15697
414	11108	15658
415	11128	15623
416	11151	15591
417	11172	15555
418	11195	15523
419	11215	15488
420	11238	15455
421	11261	15425
422	11285	15394
423	11306	15360
424	11328	15326
425	11361	15308
426	11385	15278
427	11410	15248
428	11431	15215
429	11455	15185
430	11475	15150
431	11500	15120
432	11522	15088
433	11544	15055
434	11567	15024
435	11588	14990
436	11607	14953
437	11630	14923
438	11655	14894
439	11684	14870
440	11706	14839
441	11730	14809
442	11758	14783
443	11781	14753
444	11803	14721
445	11824	14688
446	11843	14652
447	11869	14625
448	11890	14591
449	11910	14557
450	11932	14524
451	11955	14495
452	11983	14469
453	12006	14440
454	12026	14405
455	12044	14368
456	12068	14339
457	12098	14317
458	12120	14286
459	12146	14258
460	12166	14224
461	12190	14196
462	12215	14168
463	12238	14137
464	12257	14102
465	12278	14070
466	12299	14038
467	12320	14004
468	12345	13977
469	12367	13946
470	12390	13915
471	12417	13890
472	12439	13859
473	12459	13826
474	12482	13796
475	12498	13759
476	12515	13722
477	12532	13685
478	12548	13648
479	12566	13613
480	12589	13584
481	12614	13556
482	12638	13527
483	12663	13500
484	12686	13471
485	12706	13438
486	12724	13403
487	12742	13369
488	12759	13334
489	12784	13305
490	12807	13277
491	12834	13251
492	12858	13223
493	12881	13194
494	12904	13165
495	12926	13134
496	12948	13104
497	12969	13074
498	12989	13041
499	13006	13006
500	13023	12971
501	13040	12936
502	13062	12906
503	13085	12877
504	13111	12852
505	13134	12822
506	13160	12796
507	13188	12773
508	13215	12748
509	13237	12718
510	13260	12689
511	13290	12667
512	13325	12649
513	13360	12632
514	13399	12618
515	13436	12603
516	13460	12575
517	13493	12556
518	13519	12529
519	13546	12504
520	13576	12482
521	13616	12469
522	13675	12473
523	13708	12453
524	13739	12430
525	13770	12409
526	13802	12388
527	13834	12367
528	13869	12348
529	13901	12327
530	13937	12310
531	13980	12299
532	14016	12281
533	14059	12268
534	14094	12250
535	14133	12235
536	14170	12217
537	14211	12204
538	14239	12179
539	14257	12145
540	14284	12119
541	14308	12090
542	14335	12064
543	14367	12043
544	14399	12021
545	14429	11997
546	14447	11964
547	14462	11929
548	14490	11903
549	14518	11878
550	14546	11853
551	14572	11827
552	14597	11799
553	14621	11771
554	14653	11749
555	14685	11727
556	14715	11703
557	14745	11680
558	14773	11654
559	14798	11627
560	14821	11597
561	14840	11566
562	14861	11535
563	14879	11502
564	14901	11473
565	14924	11443
566	14946	11413
567	14962	11379
568	14979	11346
569	14999	11315
570	15017	11282
571	15035	11250
572	15052	11217
573	15070	11184
574	15086	11150
575	15102	11117
576	15120	11084
577	15136	11051
578	15154	11019
579	15177	10990
580	15233	10985
581	15315	10999
582	15391	11009
583	15427	10989
584	15461	10968
585	15492	10945
586	15518	10918
587	15545	10892
588	15584	10874
589	15604	10843
590	15625	10813
591	15645	10782
592	15672	10757
593	15696	10728
594	15719	10699
595	15740	10669
596	15760	10639
597	15782	10609
598	15800	10577
599	15816	10544
600	15832	10510
601	15848	10478
602	15867	10446
603	15888	10416
604	15909	10387
605	15927	10355
606	15945	10324
607	15965	10293
608	15984	10262
609	16003	10231
610	16020	10199
611	16037	10167
612	16054	10135
613	16071	10103
614	16087	10070
615	16107	10040
616	16126	10010
617	16147	9980
618	16168	9951
619	16198	9928
620	16233	9907
621	16271	9888
622	16310	9870
623	16346	9849
624	16378	9827
625	16407	9802
626	16436	9778
627	16453	9746
628	16474	9716
629	16494	9687
630	16518	9659
631	16549	9636
632	16580	9613
633	16612	9590
634	16646	9568
635	16677	9544
636	16704	9518
637	16739	9497
638	16771	9475
639	16801	9451
640	16831	9426
641	16864	9404
642	16887	9376
643	16905	9345
644	16922	9313
645	16943	9284
646	16965	9256
647	16987	9227
648	17006	9197
649	17023	9166
650	17042	9136
651	17062	9106
652	17082	9077
653	17101	9047
654	17121	9018
655	17139	8987
656	17161	8959
657	17184	8931
658	17204	8902
659	17227	8874
660	17261	8852
661	17283	8824
662	17303	8795
663	17323	8765
664	17344	8737
665	17370	8711
666	17389	8681
667	17407	8651
668	17424	8620
669	17443	8591
670	17461	8561
671	17476	8530
672	17493	8499
673	17510	8469
674	17526	8438
675	17542	8408
676	17561	8378
677	17584	8351
678	17602	8321
679	17621	8292
680	17640	8263
681	17658	8233
682	17677	8204
683	17699	8177
684	17716	8146
685	17732	8116
686	17752	8088
687	17770	8058
688	17793	8031
689	17812	8002
690	17831	7974
691	17850	7945
692	17873	7918
693	17892	7889
694	17913	7861
695	17930	7831
696	17947	7802
697	17966	7773
698	17984	7744
699	18005	7716
700	18022	7687
701	18041	7658
702	18060	7630
703	18078	7601
704	18095	7571
705	18112	7542
706	18131	7514
707	18149	7485
708	18166	7456
709	18185	7427
710	18203	7399
711	18226	7372
712	18246	7344
713	18262	7315
714	18281	7286
715	18301	7259
716	18318	7230
717	18335	7201
718	18353	7173
719	18375	7145
720	18393	7117
721	18411	7089
722	18440	7064
723	18480	7044
724	18514	7022
725	18555	7003
726	18597	6983
727	18636	6963
728	18673	6941
729	18707	6919
730	18752	6900
731	18790	6879
732	18823	6856
733	18861	6835
734	18889	6810
735	18908	6782
736	18928	6754
737	18950	6727
738	18974	6701
739	18996	6674
740	19017	6647
741	19038	6619
742	19057	6592
743	19075	6563
744	19091	6534
745	19108	6506
746	19126	6478
747	19144	6449
748	19162	6421
749	19181	6393
750	19201	6366
751	19219	6338
752	19237	6310
753	19259	6283
754	19279	6256
755	19302	6229
756	19324	6203
757	19345	6176
758	19370	6150
759	19394	6124
760	19423	6100
761	19444	6073
762	19471	6048
763	19503	6024
764	19531	5999
765	19560	5975
766	19584	5949
767	19611	5924
768	19636	5898
769	19655	5871
770	19681	5845
771	19698	5817
772	19714	5789
773	19731	5761
774	19747	5733
775	19763	5705
776	19779	5676
777	19795	5648
778	19811	5620
779	19826	5592
780	19842	5564
781	19858	5536
782	19875	5508
783	19897	5481
784	19918	5455
785	19939	5428
786	19956	5401
787	19973	5373
788	19989	5345
789	20009	5319
790	20030	5292
791	20048	5265
792	20065	5237
793	20095	5213
794	20155	5197
795	20192	5175
796	20236	5154
797	20262	5129
798	20283	5102
799	20306	5076
800	20329	5050
801	20350	5024
802	20371	4997
803	20398	4972
804	20427	4948
805	20447	4921
806	20463	4894
807	20480	4866
808	20498	4839
809	20515	4812
810	20535	4785
811	20559	4760
812	20587	4735
813	20614	4710
814	20634	4683
815	20652	4657
816	20670	4630
817	20689	4603
818	20710	4577
819	20745	4553
820	20767	4527
821	20798	4503
822	20820	4477
823	20852	4453
824	20879	4428
825	20905	4403
826	20928	4378
827	20956	4353
828	20984	4328
829	21021	4305
830	21052	4281
831	21082	4257
832	21108	4231
833	21128	4205
834	21148	4179
835	21168	4152
836	21190	4126
837	21210	4100
838	21234	4074
839	21251	4047
840	21271	4021
841	21288	3994
842	21306	3968
843	21321	3940
844	21338	3914
845	21355	3887
846	21372	3860
847	21389	3833
848	21404	3806
849	21419	3779
850	21439	3753
851	21456	3727
852	21474	3700
853	21490	3674
854	21505	3647
855	21525	3621
856	21544	3594
857	21560	3568
858	21576	3541
859	21592	3515
860	21615	3489
861	21637	3464
862	21664	3439
863	21693	3414
864	21712	3388
865	21731	3362
866	21748	3336
867	21764	3309
868	21780	3283
869	21797	3257
870	21810	3230
871	21827	3203
872	21842	3177
873	21864	3152
874	21886	3126
875	21913	3101
876	21941	3077
877	21968	3052
878	21989	3027
879	22007	3001
880	22024	2974
881	22042	2948
882	22066	2923
883	22090	2898
884	22113	2873
885	22136	2848
886	22160	2823
887	22181	2797
888	22203	2772
889	22223	2746
